motor_x,motor_y,motor_z,time
0.001630,0.001945,-0.005627,2023-12-15T13:58:53.167858Z
0.089988,0.000998,-0.001526,2023-12-15T13:58:53.168058Z
-0.016039,0.001314,0.009203,2023-12-15T13:58:53.168258Z
-0.035917,0.000683,0.014568,2023-12-15T13:58:53.168458Z
0.029715,0.001630,0.001314,2023-12-15T13:58:53.168658Z
-0.036232,0.001630,-0.012253,2023-12-15T13:58:53.168858Z
0.039813,0.000367,-0.000264,2023-12-15T13:58:53.169058Z
-0.019825,0.000998,0.010465,2023-12-15T13:58:53.169258Z
0.047071,0.000367,0.015199,2023-12-15T13:58:53.169458Z
0.069792,0.001314,-0.002157,2023-12-15T13:58:53.169658Z
-0.104067,0.000367,-0.012569,2023-12-15T13:58:53.169858Z
-0.051377,0.000683,0.004154,2023-12-15T13:58:53.170058Z
-0.012569,0.001630,0.016461,2023-12-15T13:58:53.170258Z
0.124069,0.000367,0.013306,2023-12-15T13:58:53.170458Z
0.101349,0.000998,-0.008467,2023-12-15T13:58:53.170658Z
-0.120474,0.000683,-0.009098,2023-12-15T13:58:53.170858Z
-0.147292,0.000998,0.011097,2023-12-15T13:58:53.171058Z
0.009834,0.000998,0.016461,2023-12-15T13:58:53.171258Z
0.120598,0.000052,0.006048,2023-12-15T13:58:53.171458Z
0.093459,0.001314,-0.005943,2023-12-15T13:58:53.171658Z
-0.046959,0.000367,-0.001210,2023-12-15T13:58:53.171858Z
-0.209763,0.001314,0.019301,2023-12-15T13:58:53.172058Z
0.015830,0.000998,0.015199,2023-12-15T13:58:53.172258Z
0.140479,0.000998,-0.004365,2023-12-15T13:58:53.172458Z
0.070739,0.001314,-0.009729,2023-12-15T13:58:53.172658Z
0.024982,0.000998,0.001630,2023-12-15T13:58:53.172858Z
-0.184207,0.000683,0.024982,2023-12-15T13:58:53.173058Z
-0.006574,0.000683,0.012043,2023-12-15T13:58:53.173258Z
0.134167,0.001630,-0.015724,2023-12-15T13:58:53.173458Z
-0.013515,0.000998,-0.008152,2023-12-15T13:58:53.173658Z
0.014252,0.000998,0.011412,2023-12-15T13:58:53.173858Z
