motor_x,motor_y,motor_z,time
0.098193,0.000998,0.011412,2023-12-15T15:59:08.178483Z
-0.034339,0.001314,0.018986,2023-12-15T15:59:08.178684Z
-0.063051,0.000683,0.016146,2023-12-15T15:59:08.178884Z
-0.032446,0.000052,-0.010676,2023-12-15T15:59:08.179083Z
0.029084,0.001314,-0.021087,2023-12-15T15:59:08.179283Z
0.060956,0.000367,0.003207,2023-12-15T15:59:08.179483Z
-0.075986,0.000998,0.026559,2023-12-15T15:59:08.179683Z
-0.060211,0.000367,0.018039,2023-12-15T15:59:08.179883Z
-0.006258,0.001314,-0.007836,2023-12-15T15:59:08.180084Z
0.062534,0.001314,-0.023612,2023-12-15T15:59:08.180284Z
0.079574,0.000683,-0.001841,2023-12-15T15:59:08.180483Z
-0.085767,0.000998,0.030031,2023-12-15T15:59:08.180683Z
0.006363,0.000683,0.016461,2023-12-15T15:59:08.180883Z
-0.002788,0.001314,0.005416,2023-12-15T15:59:08.181083Z
0.027190,0.000998,-0.017301,2023-12-15T15:59:08.181283Z
0.038235,0.001314,-0.005943,2023-12-15T15:59:08.181484Z
-0.108800,0.001630,0.024035,2023-12-15T15:59:08.181684Z
0.046124,0.001314,0.012990,2023-12-15T15:59:08.181883Z
0.022141,0.001630,0.009834,2023-12-15T15:59:08.182083Z
-0.011307,0.000683,-0.006889,2023-12-15T15:59:08.182283Z
-0.005627,0.000998,-0.007521,2023-12-15T15:59:08.182483Z
-0.061473,0.000683,0.010781,2023-12-15T15:59:08.182683Z
0.076734,0.001314,0.007625,2023-12-15T15:59:08.182884Z
0.060009,0.000998,0.013621,2023-12-15T15:59:08.183084Z
0.008256,0.001630,-0.002157,2023-12-15T15:59:08.183284Z
-0.093340,0.000998,-0.002788,2023-12-15T15:59:08.183483Z
-0.070307,0.000998,0.006048,2023-12-15T15:59:08.183683Z
0.098508,0.001314,0.005101,2023-12-15T15:59:08.183883Z
0.080521,0.000683,0.016777,2023-12-15T15:59:08.184083Z
-0.002788,0.001630,0.005416,2023-12-15T15:59:08.184283Z
-0.109115,0.000998,0.004470,2023-12-15T15:59:08.184484Z
-0.052008,0.001314,0.000367,2023-12-15T15:59:08.184684Z
0.082730,0.000683,0.003207,2023-12-15T15:59:08.184883Z
0.078943,0.001630,0.011728,2023-12-15T15:59:08.185083Z
0.030662,0.000998,0.005416,2023-12-15T15:59:08.185283Z
-0.059264,0.000998,0.010781,2023-12-15T15:59:08.185483Z
-0.035601,0.001630,-0.003734,2023-12-15T15:59:08.185683Z
0.030031,0.000367,0.003207,2023-12-15T15:59:08.185884Z
0.035080,0.001630,0.002576,2023-12-15T15:59:08.186084Z
0.029715,0.000683,0.005732,2023-12-15T15:59:08.186283Z
-0.028660,0.000998,0.015199,2023-12-15T15:59:08.186483Z
-0.053585,0.001314,-0.004681,2023-12-15T15:59:08.186683Z
0.006048,0.000052,0.004785,2023-12-15T15:59:08.186883Z
-0.058633,0.001630,-0.004996,2023-12-15T15:59:08.187083Z
0.048649,0.000998,0.000367,2023-12-15T15:59:08.187284Z
