motor_x,motor_y,motor_z,time
-0.018879,0.000367,0.000683,2023-12-29T19:05:18.378353Z
0.120914,0.000998,-0.000264,2023-12-29T19:05:18.378553Z
-0.040649,0.000998,0.014883,2023-12-29T19:05:18.378753Z
0.099140,0.001314,0.016146,2023-12-29T19:05:18.378953Z
0.057169,0.001630,-0.007836,2023-12-29T19:05:18.379153Z
-0.010360,0.000998,0.009203,2023-12-29T19:05:18.379353Z
-0.069992,0.000998,0.001314,2023-12-29T19:05:18.379553Z
0.013937,0.000367,-0.007521,2023-12-29T19:05:18.379753Z
0.040444,0.001314,-0.008467,2023-12-29T19:05:18.379953Z
0.001314,0.000998,-0.012569,2023-12-29T19:05:18.380153Z
-0.102174,0.001314,0.009834,2023-12-29T19:05:18.380352Z
-0.058318,0.000998,0.024035,2023-12-29T19:05:18.380553Z
0.098508,0.000998,-0.012569,2023-12-29T19:05:18.380753Z
0.025928,0.000998,0.004785,2023-12-29T19:05:18.380953Z
-0.113848,0.001630,0.002261,2023-12-29T19:05:18.381153Z
0.025297,0.001314,-0.002788,2023-12-29T19:05:18.381353Z
0.194756,0.001314,0.001314,2023-12-29T19:05:18.381553Z
0.035080,0.000998,-0.003103,2023-12-29T19:05:18.381752Z
-0.144137,0.000683,0.026875,2023-12-29T19:05:18.381953Z
-0.074093,0.000683,-0.002472,2023-12-29T19:05:18.382153Z
0.054645,0.000998,-0.015724,2023-12-29T19:05:18.382353Z
-0.112270,0.001314,0.001630,2023-12-29T19:05:18.382553Z
0.143003,0.000367,0.008572,2023-12-29T19:05:18.382753Z
0.077366,0.000683,0.003207,2023-12-29T19:05:18.382953Z
0.031293,0.000998,-0.003103,2023-12-29T19:05:18.383153Z
0.009203,0.001630,0.023404,2023-12-29T19:05:18.383353Z
-0.062735,0.001314,0.007941,2023-12-29T19:05:18.383553Z
0.024035,0.000683,0.006679,2023-12-29T19:05:18.383753Z
0.075157,0.001314,-0.000895,2023-12-29T19:05:18.383953Z
-0.028029,0.000998,0.000998,2023-12-29T19:05:18.384153Z
-0.030868,0.000998,0.020564,2023-12-29T19:05:18.384353Z
-0.116372,0.001314,0.019301,2023-12-29T19:05:18.384553Z
-0.064313,0.000998,0.013621,2023-12-29T19:05:18.384753Z
0.169511,0.000998,-0.009098,2023-12-29T19:05:18.384953Z
-0.004050,0.001630,0.007310,2023-12-29T19:05:18.385153Z
-0.294951,0.000998,0.010781,2023-12-29T19:05:18.385353Z
0.324138,0.000683,-0.005312,2023-12-29T19:05:18.385553Z
